X,Y,x,y,SYMBOLS,NO_IDX,CLR_IDX,NM_LEMBAR,NO_LEMBAR,PROJECT,NAME,FORMATION,CLASS_LITH,T_CLASS_EN,B_CLASS_EN,DESCRIP1,Shape_Leng,Shape_Area
101.4000139,-1.811972343,101.4000139,-1.811972343,Qoa,54,#FFA07A,PAINAN,914,SUMAROX,Undifferentiated Volcanic Breccia,Undifferentiated Volcanic Breccia,Extrusive: intermediate: lava,Volcanism: subaerial,Volcanism: subaerial,HOLOCENE,0.393839762,4.16E-03
100.9646569,-1.506748541,100.9646569,-1.506748541,Qol,55,#DC143C,PAINAN,814,SUMAROX,Lava,Lava,Extrusive: intermediate: lava,,,PLEISTOCENE,2.230725374,2.78E-02
101.689764,-1.677005523,101.689764,-1.677005523,Qou,56,#FF69B4,MUARA BUNGO,914,SUMAROX,Undifferentiated Acid Volcanic Rocks,Undifferentiated Acid Volcanic Rocks,Extrusive: intermediate: pyroclastic,Volcanism: subaerial,Volcanism: subaerial,HOLOCENE,0.174664511,9.27E-04
101.707442,-1.942664144,101.707442,-1.942664144,Qou,56,#FF69B4,PAINAN,814,SUMAROX,Undifferentiated Acid Volcanic Rocks,Undifferentiated Acid Volcanic Rocks,Extrusive: intermediate: pyroclastic,Volcanism: subaerial,Volcanism: subaerial,HOLOCENE,0.40975256,5.10E-03
101.5846493,-1.799655294,101.5846493,-1.799655294,Qou,56,#FF69B4,PAINAN,914,SUMAROX,Undifferentiated Acid Volcanic Rocks,Undifferentiated Acid Volcanic Rocks,Extrusive: intermediate: pyroclastic,Volcanism: subaerial,Volcanism: subaerial,HOLOCENE,2.224263309,2.38E-02
100.793893,-0.595142693,100.793893,-0.595142693,Qp1,57,#FF1493,SOLOK,815,SUMAROX,Kuarsa Porphyry,Quartz Porphyry,Intrusive: felsic: granitoid,Plutonism: batholith,Plutonism: batholith,TRIASSIC,1.379614456,6.20E-03
102.0931222,-1.610270202,102.0931222,-1.610270202,Qpb,58,#DB7093,MUARA BUNGO,914,sum-0914,Formasi Bukitpunjung,Bukit Punjung Formation,Extrusive: mafic: polymict,Volcanism: subaerial,Volcanism: subaerial,PLEISTOCENE,0.457089608,2.47E-03
101.4710103,-0.557084878,101.4710103,-0.557084878,Qpmi,59,#FFA500,PAKANBARU,816,SUMAROX,Formasi Minas,Minas Formation,Sediment: clastic: fine: mudstone,Littoral,Terrestrial: fluvial,PLEISTOCENE,26.13916678,0.502891643
100.840428,-0.54369535,100.840428,-0.54369535,Qpt2,60,#00FFFF,SOLOK,815,SUMAROX,Tufa Batuapung dan Andesit (Basal),Pumice Tuff and Andesite (Basalt),Extrusive: intermediate: pyroclastic,Volcanism: subaerial,Volcanism: subaerial,PLEISTOCENE,3.920073901,2.69E-02
102.9482032,-1.274747021,102.9482032,-1.274747021,Qrt,61,#E0FFFF,MUARA BUNGO,914,SUMAROX,Endapan Teras Sungai,River Terrace Deposits,Sediment: clastic: alluvium,Sedimentation: terrestrial: fluvial,Sedimentation: terrestrial: fluvial,UPPER PLEISTOCENE,0.325754999,1.46E-03
